date_registered,user_count
12/4/2018,3460
12/5/2018,4023
12/6/2018,4733
12/7/2018,4598
12/8/2018,3022
12/9/2018,1666
12/10/2018,4003
12/11/2018,4923
12/12/2018,6404
12/13/2018,7336
12/14/2018,9592
12/15/2018,71614
12/16/2018,52040
12/17/2018,7507
12/18/2018,7945
12/19/2018,7486
12/20/2018,8339
12/21/2018,7911
12/22/2018,5795
12/23/2018,3465
12/24/2018,5222
12/25/2018,3365
12/26/2018,86357
12/27/2018,121451
12/28/2018,11629
12/29/2018,5032
12/30/2018,3876
12/31/2018,2783
1/1/2019,1863
1/2/2019,2815
1/3/2019,3242
1/4/2019,1729
1/5/2019,1623
1/6/2019,1560
1/7/2019,2684
1/8/2019,4117
1/9/2019,8164
1/10/2019,11429
1/11/2019,12598
1/12/2019,10331
1/13/2019,9265
1/14/2019,13731
1/15/2019,18722
1/16/2019,20219
1/17/2019,22450
1/18/2019,22624
1/19/2019,19317
1/20/2019,13775
1/21/2019,18791
1/22/2019,25540
1/23/2019,28035
1/24/2019,27981
1/25/2019,24921
1/26/2019,22110
1/27/2019,15306
1/28/2019,18165
1/29/2019,21551
1/30/2019,21309
1/31/2019,20994
2/1/2019,16462
2/2/2019,12122
2/3/2019,8088
2/4/2019,12686
2/5/2019,15085
2/6/2019,16778
2/7/2019,16620
2/8/2019,17204
2/9/2019,8748
2/10/2019,6857
2/11/2019,14066
2/12/2019,6282
2/13/2019,14190
2/14/2019,14342
2/15/2019,13962
2/16/2019,8724
2/17/2019,5681
2/18/2019,12997
2/19/2019,14010
2/20/2019,14495
2/21/2019,13956
2/22/2019,13571
2/23/2019,7309
2/24/2019,6092
2/25/2019,11170
2/26/2019,12699
2/27/2019,11643
2/28/2019,13155
3/1/2019,10752
3/2/2019,6047
3/3/2019,4077
3/4/2019,9147
3/5/2019,10477
3/6/2019,9173
3/7/2019,11271
3/8/2019,11594
3/9/2019,7116
3/10/2019,4911
3/11/2019,10307
3/12/2019,12166
3/13/2019,12474
3/14/2019,12287
3/15/2019,11978
3/16/2019,7233
3/17/2019,5046
3/18/2019,9520
3/19/2019,10894
3/20/2019,5363
3/21/2019,9566
3/22/2019,10359
3/23/2019,7180
3/24/2019,5053
3/25/2019,8683
3/26/2019,9715
3/27/2019,6481
3/28/2019,9508
3/29/2019,8544
3/30/2019,5541
3/31/2019,4830
4/1/2019,1944
4/2/2019,3468
4/3/2019,3904
4/4/2019,9504
4/5/2019,11345
4/6/2019,5801
4/7/2019,4731
4/8/2019,10883
4/9/2019,12762
4/10/2019,12756
4/11/2019,11964
4/12/2019,8372
4/13/2019,3165
4/14/2019,2795
4/15/2019,2375
4/16/2019,2466
4/17/2019,3196
4/18/2019,7365
4/19/2019,10439
4/20/2019,5760
4/21/2019,4569
4/22/2019,10407
4/23/2019,12190
4/24/2019,11990
4/25/2019,11460
